,Address,"Town, State",Price,Beds,Sqft,Baths
72,202 N Eisenhower Dr,"Midland, TX","$150,000",4,"1,868",2
73,4505 Princeton Ave,"Midland, TX","$224,000",5,"1,860",2
74,4601 Wilshire Dr,"Midland, TX","$162,000",4,"1,741",2
75,10706 E County Road 105,"Midland, TX","$275,000",3,"1,447",2
76,9711 S County Road 1213,"Midland, TX","$360,000",4,"2,160",2
77,Daybreak Estates,"Midland, TX","$298,990",3,"1,876",2
78,4726 Harvard Ave,"Midland, TX","$215,000",3,"1,424",2
79,3105 Southridge Ct,"Midland, TX","$260,000",3,"1,632",2
80,14140 Lariat Trl,"Gardendale, TX","$629,900",6,"3,840",6
81,1410 Whitaker St,"Midland, TX","$242,000",4,"2,991",3
82,2803 W Louisiana Ave,"Midland, TX","$144,900",3,"2,088",2
83,1920 Centerview,"Midland, TX","$545,000",5,"3,469",4
84,3109 Delano Ave,"Midland, TX","$200,000",3,"1,976",2
85,1001 S Mineola St,"Midland, TX","$239,000",3,"1,655",2
86,1 Amhurst Ct,"Midland, TX","$368,000",3,"2,456",3
87,903 Pine Ct,"Midland, TX","$305,000",3,"2,620",2
88,4307 Brookdale Dr,"Midland, TX","$104,900",3,"1,322",2
89,3029 Fredna Pl,"Midland, TX","$319,900",4,"2,454",3
